Player,Class,Season,Pos,School,Conf,G,MP,PER,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,ORtg,DRtg,OWS,DWS,WS,OBPM,DBPM,BPM
Collin Mangrum\collin-mangrum-1,SR,2010-11,G,Southern Methodist,CUSA,33,801,12.2,0.524,0.509,1.9,11.6,7.3,15.5,2.2,0.8,14.6,16.3,202,103.9,101.1,0.9,1.1,2,0.1,-0.1,-0.1
Charles Mann\charles-mann-1,FR,2012-13,G,Georgia,SEC,32,687,12.9,0.503,0.368,2.9,14.8,8.9,31.7,2.3,0.7,28.9,24.2,244,90.7,98.2,0.2,1,1.2,-1.7,1.6,-0.1
Jimmy Marshall\jimmy-marshall-1,JR,2015-16,G,Northeastern,CAA,22,212,13.1,0.548,0.53,2.9,19,11.1,12.6,2.3,0.5,15.4,16.4,58,104.7,102.8,0.2,0.3,0.5,-0.3,0.1,-0.1
Cole Martinez\cole-martinez-1,SR,2016-17,G,Texas A&M-Corpus Christi,Southland,30,590,16.9,0.717,0.679,2.2,7.1,4.7,8.8,1.2,0.4,7.5,13.5,188,144.8,108,1.9,0.5,2.4,3.7,-3.7,-0.1
Javier Martinez\javier-martinez-1,SO,2014-15,F,Tennessee-Martin,OVC,33,514,22.3,0.717,0.703,14.6,15.9,15.2,2.5,1,1.4,12.1,15.8,179,139.5,104.2,2,0.6,2.5,2.9,-2.9,-0.1
Stephen Maxwell\stephen-maxwell-1,SO,2012-13,F,Cal State Northridge,Big West,31,865,25.2,0.595,0.556,14.7,20.9,17.5,4,1.9,1.3,12.2,23.6,420,120,105,3,0.7,3.8,2.5,-2.6,-0.1
Amere May\amere-may-1,SR,2014-15,G,Delaware State,MEAC,32,1095,21.7,0.544,0.5,3.2,9.7,6.5,19.1,1.7,0.6,13.1,32,615,108.2,107.5,2.9,0.9,3.8,3.6,-3.7,-0.1
Javonte Maynor\javonte-maynor-1,JR,2012-13,G,Cal State Bakersfield,Ind,30,933,12.3,0.543,0.53,2.2,5.7,3.7,7.5,2.2,0.4,10.2,17.6,276,109.4,106,1.5,0.7,2.2,1.8,-1.9,-0.1
Youssoupha Mbao\youssoupha-mbao-1,SO,2011-12,C,Marshall,CUSA,33,215,3.1,0.244,0.143,11.5,23.1,16.8,3.8,0.9,12.1,51.6,10.7,22,49.6,96,-0.5,0.4,-0.2,-8.2,8.1,-0.1
Justin McFadden\justin-mcfadden-1,JR,2016-17,G,Binghamton,AEC,6,54,21.2,0.839,0.875,8.9,15.2,12.1,26.6,0,2.1,30.6,16.1,22,131.7,109,0.2,0,0.2,1.7,-1.8,-0.1
Javon McKay\javon-mckay-1,SR,2014-15,G,Tennessee Tech,OVC,29,580,14.1,0.567,0.521,6.6,10.6,8.5,11.2,1.9,2.6,20.8,15.5,168,107.7,104.7,0.8,0.6,1.4,-0.1,0,-0.1
Brett Mcknight\brett-mcknight-1,SR,2010-11,F,Akron,MAC,29,520,21.1,0.548,0.517,4.4,14.3,9.4,10.5,1.8,0.4,9.1,29.7,252,108.2,97.5,1.3,0.9,2.1,1.9,-2,-0.1
Logan McLane\logan-mclane-1,FR,2014-15,F,Miami (OH),MAC,32,457,13.6,0.557,0.554,7.4,15.7,11.6,8.7,2.3,1.7,17.9,16.6,128,103.6,105,0.5,0.5,1,-0.5,0.4,-0.1
Dylan Miller\dylan-miller-1,SO,2016-17,F,North Dakota State,Summit,29,312,17.8,0.578,0.551,8.9,12.1,10.6,4.5,0.9,6.7,8.5,15.7,100,121,104.1,0.7,0.4,1.1,-1.7,1.6,-0.1
Zach Moer\zach-moer-1,SO,2013-14,C,Air Force,MWC,12,52,17.3,0.56,0.5,4.7,13.9,9.4,22.5,1.2,9.8,21.1,24.7,21,102,103.2,0.1,0.1,0.1,-2.7,2.6,-0.1
Jeremy Montgomery\jeremy-montgomery-1,JR,2010-11,G,Cleveland State,Horizon,36,1119,13.2,0.518,0.476,2.9,6.9,4.9,11.9,1.7,0.2,15.2,22,395,101.9,101.8,1.4,1.4,2.8,0.6,-0.7,-0.1
Doral Moore\doral-moore-1,SO,2016-17,C,Wake Forest,ACC,31,258,11.9,0.532,0.525,11.3,19.2,15.3,0.7,0.4,11.6,24.2,18.7,80,92.8,105.9,0,0.3,0.3,-3.9,3.8,-0.1
Malcolm Moore\malcolm-moore-1,JR,2011-12,F,Texas-El Paso,CUSA,7,115,12.2,0.558,0.542,10.7,13.7,12.2,5.8,0,4,15.2,16.2,31,108,102.7,0.2,0.1,0.3,-0.6,0.4,-0.1
Daniel Mortensen\daniel-mortensen-1,FR,2015-16,F,Wright State,Horizon,22,139,14.4,0.577,0.577,1.8,13.1,7.4,7.9,0.4,2.7,8.8,22.1,49,105.1,101,0.2,0.2,0.4,1.5,-1.5,-0.1
Don MuepoKelly\dj-muepo-1,FR,2012-13,F,Lamar,Southland,10,145,16.6,0.459,0.395,8.6,17.8,13.1,20.8,3.1,3.6,16.8,18,46,97.6,103.6,0.1,0.1,0.3,-1.6,1.5,-0.1
Sultan Muhammad\sultan-muhammad-1,JR,2012-13,G,Green Bay,Horizon,34,798,11.1,0.569,0.541,1.9,11,6.4,11.3,1.3,0.3,17.2,14,183,107,104.5,1,0.7,1.7,1.3,-1.4,-0.1
Emmett Naar\emmett-naar-1,FR,2014-15,G,Saint Mary's (CA),WCC,30,842,11.3,0.576,0.522,1.2,7.3,4.4,26.3,1,0.3,27,14.7,225,107.8,107,1.2,0.7,1.9,0.8,-1,-0.1
Ludovic Ndaye\ludovic-ndaye-1,SR,2013-14,F,Cleveland State,Horizon,6,51,22.5,0.624,0.615,15.2,18.6,17,0,1.2,11.6,6.5,16.1,17,132.6,96.2,0.1,0.1,0.3,-1.3,1.2,-0.1
David Ndoumba\david-ndoumba-1,SR,2010-11,F,Southeastern Louisiana,Southland,29,834,21.2,0.576,0.555,10.3,21,15.6,6.4,1.1,6.3,14.3,19.6,304,113.1,99.3,1.8,1.3,3.1,-1.5,1.4,-0.1
Emmanuel Ndumanya\emmanuel-ndumanya-1,JR,2016-17,C,Santa Clara,WCC,26,649,9,0.568,0.563,9.7,21.4,15.5,1.8,2.7,2,34.8,11.7,118,90.9,96.9,0,1.3,1.2,-4.1,3.9,-0.1
